"","Estimate","Std. Error","t value","Pr(>|t|)","OR","OR_lci95","OR_uci95"
"MDS1",0.161640107409788,0.0510213237533398,3.16808925207878,0.00259244948955589,1.17543713407417,1.06357759280742,1.29906126784177
"Age_group>= 65",0.735453596647761,0.141281289481379,5.20559799069992,3.48558759630486e-06,2.08642817472211,1.58176651390324,2.75210183678255
"GenderMale",-1.92247020926571,0.110460096708218,-17.4042053787437,4.21534232870801e-23,0.146245259178993,0.117775854529295,0.181596439421382
"RaceNon_hispanic_black ",-0.784286172439493,0.208883645574542,-3.75465570931743,0.000446192124292494,0.456445408835168,0.3030982957198,0.687375726583782
"RaceNon_hispanic_white",-0.00544818275246989,0.171857583835248,-0.0317017301819675,0.974833657462129,0.994566631679062,0.710142910313543,1.39290665369411
"RaceOther",-0.0776054533478567,0.346079194681822,-0.224241891857168,0.82346503837389,0.9253294401641,0.469578086882759,1.82341254149746
"RaceOther_hispanic",0.053279118354411,0.248308642457745,0.214568119043531,0.830959707396171,1.05472399686432,0.648297345825309,1.71594518583947
"PIRPoor",-0.00869226176145538,0.131609975903607,-0.0660456147170921,0.947599736715648,0.991345406725349,0.765942777884534,1.2830798119799
"PIRRich",-0.213498103692726,0.0896253899877062,-2.38211631460695,0.0209807383486789,0.807753691898312,0.677623220107115,0.962874363532311
"Marital_statusunMarried",0.142751177283904,0.110020826608022,1.29749231745452,0.200300283600048,1.15344276319545,0.929703423768339,1.43102646925334
"BMI",-0.0574249846973269,0.0109419677362678,-5.2481405613168,3.00126546413792e-06,0.944192716632283,0.924158910136327,0.964660813593131
