"","Estimate","Std. Error","t value","Pr(>|t|)","OR","OR_lci95","OR_uci95"
"MDSMedium",0.571295682513032,0.111989692088624,5.10132380809593,8.09143902839898e-06,1.77055964904924,1.42161832192778,2.20514987918157
"MDSHigh",0.502650527973541,0.178256048960139,2.81982311907935,0.007369108473478,1.65309704904839,1.16563811121213,2.34440674793204
"Age_group>= 65",1.56370391825583,0.122330410815533,12.7826262319498,6.86153085865242e-16,4.77648021352302,3.7581856951322,6.07068545328342
"GenderMale",-1.81123029951807,0.0975940043883067,-18.5588275721483,1.46660169442003e-21,0.163452917002758,0.134995403655562,0.197909375824956
"RaceNon_hispanic_black ",-0.0686801826281096,0.18740130757155,-0.366487211418669,0.715886108435211,0.933625221901026,0.646626296607355,1.34800588770213
"RaceNon_hispanic_white",0.625379906765154,0.163802303153236,3.81789446623418,0.000447103109683252,1.86895585154867,1.35571283376986,2.57650137110895
"RaceOther",0.418332660959997,0.340157156858438,1.22982172365138,0.225774372965575,1.51942604406566,0.780067077280487,2.95956023606789
"RaceOther_hispanic",0.284202816475506,0.203388374568069,1.39734051702346,0.169827691062709,1.32870238616183,0.89186687779658,1.97949949139698
"PIRPoor",0.294907133275117,0.142336985045574,2.07189391556027,0.0446053394678088,1.34300163273178,1.01605414756722,1.77515478858955
"PIRRich",-0.169043455647987,0.0981190099138466,-1.72284102536721,0.0924531577143786,0.844472205501777,0.696730419886785,1.02354265797798
"Marital_statusunMarried",-0.265077498601572,0.102208646856612,-2.59349386528369,0.0131135207964226,0.767146494891488,0.627879853788489,0.937303117902785
"BMI",-0.0475087551266411,0.0098361399600123,-4.83002024369138,1.93457615611238e-05,0.953602124188716,0.935393867764148,0.972164820185156
"StrokeYes",0.243403009401343,0.210537390070839,1.15610348033404,0.254331282814074,1.27558259232139,0.844297570250936,1.92717710812523
"HypertensionYes",0.287504606493982,0.119082215541815,2.41433706272476,0.0203122685111041,1.33309673305114,1.05559381249733,1.68355183464672
"DiabetesYes",-0.155128290924194,0.200641094825583,-0.773163100306277,0.443860748755956,0.85630531423638,0.577882431457533,1.26887192147379
"TG",-0.036019456765713,0.0470669310585108,-0.765281609734353,0.448486905456975,0.964621524885524,0.879615286403164,1.0578427872455
"TC",0.000345037081097893,0.00123787753618364,0.278732807577749,0.781850966132166,1.00034509661324,0.997920961311271,1.00277512058995
"HbA1C",0.17769023688279,0.0390594356980458,4.54922693344696,4.71830900335178e-05,1.1944552657365,1.10642460832039,1.28948992196722
"MAGN",0.00100612995769437,0.000774129271141433,1.29969243536142,0.200966648146396,1.00100663627623,0.999488967208018,1.00252660984152
"CALC",-8.6193454512379e-05,0.000151725424002812,-0.568088407588048,0.573073213087548,0.999913810260037,0.999616498270037,1.00021121067837
"PHOS",-0.000497974217113556,0.000221024656443105,-2.25302563581517,0.029671877103172,0.999502149751468,0.999069250872183,0.99993523620678
